PATIENT_ID,CHEK1,CHEK2,ATM,ATR,BAD,BAX,RAD51,BCL2,BCL2L1,BRCA1,BRCA2,TP53,PALB2,BRIP1
TCGA-13-0888,3.0752,5.9134,1.4181,0.9164,12.1527,21.7673,2.5022,1.2663,48.0366,1.5535,0.8965,5.3865,3.0042,0.7718
TCGA-13-0890,7.6639,3.9978,0.3684,0.4388,13.2906,20.219,5.2605,0.5242,21.807,1.9183,0.2467,33.5654,1.7978,0.7377
TCGA-13-0891,2.6901,5.8151,0.5035,0.6373,24.0659,30.4704,5.8567,1.6797,47.5079,0.9625,0.4964,58.2684,3.531,0.5543
TCGA-13-0893,10.2466,9.0848,2.4993,1.7152,18.9756,20.9708,5.7519,0.693,49.8029,1.0007,1.5356,35.7514,6.3176,1.0621
TCGA-13-0897,9.1901,1.1399,0.873,0.8888,28.6427,13.2813,3.704,0.4749,50.1855,0.0646,0.4035,3.8996,2.8802,1.2118
TCGA-13-0899,2.4134,5.5255,0.4567,0.7771,23.4812,13.4597,5.7938,0.427,64.9557,1.6409,0.4136,4.7983,1.7489,0.639
TCGA-13-0900,5.1002,5.5597,1.5594,0.7995,11.7184,23.0828,7.5292,0.3052,34.8085,1.3506,0.4295,31.1856,3.4121,1.5129
TCGA-13-0905,7.7777,4.9926,1.6658,1.2172,15.8121,17.342,2.8681,0.7123,59.7336,0.0358,1.411,37.7595,3.4813,0.4875
TCGA-13-0906,7.355,3.8929,0.9327,0.7893,11.2984,17.6315,6.7668,0.7868,35.3862,3.2639,0.904,57.6409,2.3112,2.7645
TCGA-13-0908,3.2927,1.6314,2.2599,1.398,14.0045,11.3711,2.2759,0.4424,38.8967,0.211,0.46,9.0308,3.2674,0.4896
TCGA-13-0911,3.2821,3.659,0.7395,1.1622,35.195,27.5899,7.1613,0.61,68.3385,0.8361,0.3039,15.1775,1.8733,0.1993
TCGA-13-0913,7.819,4.9748,2.4313,0.9244,28.0655,10.959,5.7143,1.0808,26.6879,2.0302,0.2241,55.8169,3.5428,0.8535
TCGA-13-0913,5.6227,5.5455,1.43,0.9905,35.7164,15.0008,8.2936,0.4954,18.5804,1.0188,0.1952,51.8477,4.9082,0.6025
TCGA-13-0916,6.2047,4.9411,0.6748,0.9834,22.5767,16.6174,4.6666,8.3416,27.3539,0.079,1.6066,4.1778,5.428,0.9891
TCGA-13-0919,4.2958,2.7247,1.104,0.8318,23.7375,20.9625,5.7829,0.2793,39.8657,1.3046,0.1789,29.1068,3.0788,0.4497
TCGA-13-0920,1.8238,6.5724,3.5331,1.1157,10.06,21.895,6.9221,0.46,60.0715,0.7074,1.2578,9.442,3.8077,1.135
TCGA-13-0923,3.23,4.4526,0.8813,0.9118,26.6794,36.4272,2.7598,0.2713,54.8095,0.6223,0.2856,1.9993,4.0727,0.5229
TCGA-13-0924,7.0713,3.0018,0.8558,0.6758,24.4879,28.3606,7.2955,0.4579,43.6426,1.8073,0.3123,27.496,3.396,0.8682
TCGA-13-1403,4.1891,5.4667,3.6262,2.0678,8.9276,7.1417,4.537,0.1735,59.2553,1.0008,0.3316,8.2234,2.5232,0.6353
TCGA-13-1404,15.7652,2.9914,1.5547,0.7133,13.5082,13.7563,4.6581,1.3418,18.7607,0.9268,0.8883,45.854,2.0863,2.2196
TCGA-13-1405,4.8931,7.7292,1.5949,0.9925,7.8667,18.0393,4.2962,0.4232,44.9055,1.9524,1.2281,6.1867,2.482,0.7317
TCGA-13-1407,10.7013,11.1087,1.9903,1.1064,25.3553,17.7374,5.7943,2.8488,45.1426,1.5746,1.9008,35.3039,3.7065,0.8816
TCGA-13-1408,3.7559,3.7601,1.6773,0.794,9.9872,28.0944,2.376,0.7041,46.7422,2.3639,0.7763,19.2125,2.5686,1.0082
TCGA-13-1409,2.9326,2.5307,1.7636,1.6088,6.934,13.4989,1.3506,2.4476,61.6295,0.7113,0.3816,79.8875,2.8364,0.2846
TCGA-13-1410,5.2604,6.9103,0.8742,1.4749,12.7528,31.1212,5.729,0.585,107.2252,1.9584,0.606,5.2405,2.6612,0.652
TCGA-13-1411,2.6182,2.9282,1.1887,0.8775,8.728,17.2532,3.4882,0.6219,37.3917,1.2445,0.8379,34.7681,3.066,0.2253
TCGA-13-1477,3.626,2.592,2.0183,0.8174,36.1019,40.1781,2.6802,0.624,83.0424,1.6487,0.8704,47.9489,2.559,1.338
TCGA-13-1481,4.6266,3.5396,1.3323,0.8014,18.2292,14.3248,3.1637,0.7559,50.1345,1.4701,0.31,23.1194,3.1585,1.388
TCGA-13-1482,5.5631,4.7177,1.004,1.0207,6.7147,23.7116,1.8485,1.1209,49.23,0.1018,0.4117,39.3917,4.3504,0.9551
TCGA-13-1483,3.4529,2.9126,1.358,0.8285,11.5579,13.0862,5.8797,0.3554,31.629,0.1654,1.0409,8.4237,3.3082,1.1151
TCGA-13-1485,2.0979,2.7057,1.5078,0.6922,12.1179,51.0171,2.0458,0.8846,67.1951,1.4193,0.2945,28.2545,2.1936,0.4762
TCGA-13-1487,5.202,3.6991,2.0005,1.0122,8.3556,14.6504,3.3623,0.4412,55.3876,0.8076,0.7224,82.5087,3.6001,1.7985
TCGA-13-1488,7.0868,4.4666,0.9905,0.7204,10.2057,18.308,3.9506,0.5562,62.5006,1.057,1.5448,7.3455,3.0054,1.2189
TCGA-13-1489,3.2185,3.1074,3.8759,1.6412,13.0359,15.9975,3.5828,0.3985,37.5635,0.5293,0.7084,13.4773,2.8465,1.8933
TCGA-13-1489,2.573,3.8146,1.8398,1.3691,15.6296,21.9289,2.997,0.2648,25.016,0.5987,0.6701,13.0305,3.2529,0.8947
TCGA-13-1492,7.1218,6.2103,1.2124,0.3909,13.381,26.878,9.4041,3.349,19.2281,2.2663,1.0462,3.2595,3.1477,1.4586
TCGA-13-1495,3.9903,11.1404,0.6943,1.3782,23.644,13.8578,3.0639,0.649,33.957,1.2741,0.5939,57.9722,2.0877,1.0204
TCGA-13-1496,3.2481,3.9808,0.9015,1.2543,10.3053,13.29,4.6827,0.2656,30.4785,1.1443,1.6685,52.4278,3.5015,0.8676
TCGA-13-1497,3.1046,7.9584,1.2744,0.956,11.6571,21.27,4.2557,1.9055,22.5244,0.2904,2.2158,17.1931,3.3997,0.8814
TCGA-13-1498,6.974,3.819,1.4392,0.5347,15.9082,11.6108,5.9704,1.2696,31.7809,1.0855,0.7485,13.3734,3.7166,0.812
TCGA-13-1499,6.5902,4.9151,1.9789,0.707,16.8565,17.7077,2.0466,2.3564,59.3363,1.4072,0.594,44.8905,2.733,0.8878
TCGA-13-1501,2.7801,2.9048,1.5371,1.0011,21.3476,17.9646,2.6714,0.5287,55.2156,0.1183,1.0974,42.0963,2.3412,0.433
TCGA-13-1505,4.3693,2.7821,2.0508,0.6559,10.8004,12.1464,4.0601,1.0305,21.4303,1.1991,0.3598,7.7726,3.9772,0.5874
TCGA-13-1506,7.133,7.5945,0.8183,0.8018,11.7957,11.7155,10.0352,0.3024,36.6617,2.5748,1.6737,4.2676,4.5386,0.6585
